zip_code;label
80910;arvillers
40310;arx
64410;arzacq arraziguet
56190;arzal
29300;arzano
58700;arzembouy
48310;arzenc d apcher
48170;arzenc de randon
11290;arzens
51290;arzillieres neuville
51290;arzillieres neuville
56640;arzon
56640;arzon
57405;arzviller
64660;asasp arros
64660;asasp arros
64310;ascain
64220;ascarat
67250;aschbach
45170;ascheres le marche
20276;asco
9110;ascou
45300;ascoux
6260;ascros
8190;asfeld
86340;aslonnes
58420;asnan
39120;asnans beauvoisin
39120;asnans beauvoisin
14960;asnelles
27260;asnieres
14710;asnieres en bessin
21500;asnieres en montagne
79170;asnieres en poitou
17400;asnieres la giraud
21380;asnieres les dijon
89660;asnieres sous bois
86430;asnieres sur blour
16290;asnieres sur nouere
95270;asnieres sur oise
1570;asnieres sur saone
92600;asnieres sur seine
72430;asnieres sur vegre
58190;asnois
86250;asnois
57790;aspach
68130;aspach
68700;aspach le bas
68700;aspach michelbach
68700;aspach michelbach
30250;asperes
31160;aspet
65240;aspin aure
65100;aspin en lavedan
34800;aspiran
5140;aspremont
6790;aspremont
5800;aspres les corps
5140;aspres sur buech
31800;aspret sarrat
12700;asprieres
65130;asque
33240;asques
82120;asques
89450;asquins
81340;assac
80500;assainvillers
79600;assais les jumeaux
79600;assais les jumeaux
34820;assas
64510;assat
37120;assay
53600;asse le berenger
72130;asse le boisne
72170;asse le riboul
10320;assenay
10220;assencieres
57260;assenoncourt
44410;asserac
44410;asserac
59600;assevent
80200;assevillers
46320;assier
38150;assieu
34360;assignan
18260;assigny
2270;assis sur serre
64800;asson
67320;asswiller
47220;astaffort
19120;astaillac
65200;aste
64260;aste beon
7330;astet
53230;astille
64450;astis
9310;aston
65200;astugue
21130;athee
53400;athee
37270;athee sur cher
70110;athesans etroitefontaine
70110;athesans etroitefontaine
21500;athie
89440;athie
54370;athienville
62223;athies
80200;athies
2840;athies sous laon
51150;athis
91200;athis mons
61100;athis val de rouvre
61100;athis val de rouvre
61100;athis val de rouvre
61100;athis val de rouvre
61100;athis val de rouvre
61100;athis val de rouvre
61100;athis val de rouvre
61430;athis val de rouvre
64390;athos aspis
98729;atiha
95570;attainville
52130;attancourt
68220;attenschwiller
59551;attiches
60350;attichy
1340;attignat
73610;attignat oncin
88300;attigneville
8130;attigny
88260;attigny
57170;attilloncourt
2490;attilly
62170;attin
54700;atton
45170;attray
70100;attricourt
98741;atuona
40700;aubagnan
13400;aubagne
13400;aubagne
21360;aubaine
30250;aubais
65350;aubarede
24290;aubas
43380;aubazat
19190;aubazines
61270;aube
57580;aube
76390;aubeguimont
7200;aubenas
4110;aubenas les alpes
26340;aubenasson
59265;aubencheul au bac
2420;aubencheul aux bois
2500;aubenton
77720;aubepierre ozouer le repos
77720;aubepierre ozouer le repos
52210;aubepierre sur aube
59165;auberchicourt
80110;aubercourt
78410;aubergenville
78410;aubergenville
51600;auberive
52160;auberive
38680;auberives en royans
38550;auberives sur vareze
76340;aubermesnil aux erables
76550;aubermesnil beaumais
59249;aubers
64290;aubertin
14640;auberville
76450;auberville la manuel
76110;auberville la renault
93300;aubervilliers
5800;aubessagne
5500;aubessagne
5500;aubessagne
10150;aubeterre
16390;aubeterre sur dronne
33430;aubiac
47310;aubiac
63260;aubiat
63260;aubiat
63170;aubiere
32270;aubiet
84810;aubignan
7400;aubignas
35250;aubigne
79110;aubigne
72800;aubigne racan
49540;aubigne sur layon
4200;aubignosc
14700;aubigny
79390;aubigny
3460;aubigny
80800;aubigny
59265;aubigny au bac
2590;aubigny aux kaisnes
62690;aubigny en artois
2820;aubigny en laonnois
21170;aubigny en plaine
21340;aubigny la ronce
85430;aubigny les clouzeaux
85430;aubigny les clouzeaux
8150;aubigny les pothees
21540;aubigny les sombernon
18700;aubigny sur nere
51170;aubilly
64230;aubin
12110;aubin
12110;aubin
12110;aubin
62140;aubin st vaast
18220;aubinges
8270;auboncourt vauzelles
25520;aubonne
30620;aubord
54580;auboue
64330;aubous
26110;aubres
55120;aubreville
8320;aubrives
62390;aubrometz
59494;aubry du hainaut
61120;aubry le panthou
68150;aubure
30190;aubussargues
61100;aubusson
23200;aubusson
63120;aubusson d auvergne
80110;aubvillers
59950;auby
22100;aucaleuc
31140;aucamville
82600;aucamville
9800;aucazein
26340;aucelon
50170;aucey la plaine
32000;auch
85200;auchay sur vendee
85200;auchay sur vendee
62260;auchel
80560;auchonvillers
62190;auchy au bois
60360;auchy la montagne
62770;auchy les hesdin
62138;auchy les mines
59310;auchy lez orchies
65400;aucun
64190;audaux
39700;audelange
52240;audeloncourt
62250;audembert
33980;audenge
3190;audes
25170;audeux
45300;audeville
29770;audierne
29770;audierne
2300;audignicourt
59570;audignies
40500;audignon
2120;audigny
25400;audincourt
62560;audincthun
62179;audinghen
40400;audon
50480;audouville la hubert
62890;audrehem
9800;audressein
62164;audresselles
14250;audrieu
24260;audrix
62370;audruicq
54560;audun le roman
57390;audun le tiche
78610;auffargis
77570;aufferville
78930;auffreville brasseuil
8370;auflance
64450;auga
56800;augan
23170;auge
79400;auge
8380;auge
39190;augea
60800;auger st vincent
39380;augerans
23210;augeres
63930;augerolles
77560;augers en brie
45330;augerville la riviere
70500;augicourt
24300;augignac
9800;augirein
39270;augisey
63340;augnat
32120;augnax
87120;augne
57685;augny
61270;auguaise
89290;augy
2220;augy
18600;augy sur aubois
17770;aujac
30450;aujac
32300;aujan mournede
30250;aujargues
52190;aujeurres
46090;aujols
98755;aukena
26570;aulan
30120;aulas
63500;aulhat flat
63500;aulhat flat
20116;aullene
63510;aulnat
17470;aulnay
17470;aulnay
86330;aulnay
10240;aulnay
51240;aulnay l aitre
45390;aulnay la riviere
93600;aulnay sous bois
27180;aulnay sur iton
51150;aulnay sur marne
78126;aulnay sur mauldre
